iter	Passed	Remaining
0	160	160563
1	162	80938
2	163	54270
3	164	41064
4	166	33139
5	168	27835
6	170	24157
7	180	22327
8	181	19975
9	183	18203
10	185	16662
11	186	15349
12	188	14301
13	189	13366
14	191	12557
15	192	11834
16	193	11185
17	194	10601
18	195	10081
19	196	9610
20	197	9187
21	197	8798
22	198	8445
23	199	8121
24	200	7825
25	201	7557
26	202	7309
27	203	7079
28	204	6857
29	205	6651
30	206	6458
31	207	6277
32	208	6104
33	209	5942
34	210	5790
35	211	5652
36	212	5522
37	213	5399
38	214	5281
39	215	5164
40	216	5060
41	217	4961
42	218	4860
43	219	4772
44	220	4678
45	221	4588
46	222	4502
47	222	4418
48	223	4339
49	224	4264
50	225	4191
51	226	4121
52	226	4055
53	228	3994
54	229	3938
55	230	3888
56	231	3834
57	233	3784
58	234	3735
59	234	3681
60	235	3630
61	236	3580
62	237	3532
63	238	3486
64	239	3441
65	240	3398
66	241	3357
67	241	3310
68	242	3270
69	243	3231
70	244	3194
71	245	3161
72	246	3128
73	247	3097
74	248	3064
75	249	3031
76	250	2998
77	250	2965
78	251	2935
79	252	2906
80	253	2877
81	254	2849
82	255	2821
83	256	2794
84	256	2764
85	257	2738
86	258	2710
87	259	2687
88	260	2666
89	261	2648
90	262	2627
91	263	2603
92	264	2580
93	265	2557
94	266	2536
95	267	2515
96	268	2495
97	268	2474
98	269	2455
99	270	2435
100	271	2416
101	271	2394
102	272	2376
103	273	2358
104	274	2342
105	276	2328
106	277	2312
107	277	2294
108	278	2278
109	279	2262
110	280	2245
111	281	2229
112	282	2213
113	283	2200
114	284	2185
115	284	2169
116	285	2155
117	286	2140
118	287	2124
119	288	2113
120	289	2104
121	290	2091
122	291	2075
123	291	2061
124	292	2048
125	293	2037
126	294	2025
127	295	2011
128	296	1998
129	296	1986
130	297	1975
131	298	1963
132	299	1953
133	300	1942
134	301	1933
135	302	1923
136	304	1915
137	304	1904
138	305	1894
139	306	1883
140	307	1872
141	308	1862
142	308	1851
143	309	1841
144	310	1831
145	311	1822
146	312	1814
147	313	1806
148	315	1799
149	316	1791
150	317	1784
151	318	1776
152	319	1769
153	320	1760
154	321	1752
155	322	1745
156	323	1737
157	324	1729
158	325	1722
159	326	1715
160	327	1707
161	329	1701
162	330	1695
163	331	1689
164	332	1682
165	333	1676
166	334	1669
167	335	1661
168	336	1653
169	336	1645
170	337	1637
171	338	1629
172	339	1622
173	340	1615
174	341	1608
175	342	1601
176	342	1594
177	343	1587
178	344	1580
179	345	1573
180	345	1565
181	346	1558
182	347	1552
183	349	1549
184	350	1542
185	351	1536
186	351	1529
187	352	1523
188	353	1517
189	354	1511
190	355	1506
191	356	1502
192	358	1498
193	359	1494
194	360	1489
195	362	1485
196	363	1480
197	364	1474
198	364	1468
199	365	1463
200	366	1457
201	367	1451
202	368	1446
203	369	1441
204	370	1436
205	371	1430
206	371	1424
207	372	1419
208	373	1414
209	374	1410
210	376	1406
211	377	1402
212	378	1396
213	378	1391
214	379	1386
215	380	1381
216	381	1375
217	382	1370
218	383	1368
219	384	1364
220	385	1359
221	386	1354
222	387	1348
223	388	1344
224	389	1341
225	390	1336
226	391	1334
227	392	1329
228	393	1324
229	394	1319
230	394	1314
231	395	1310
232	396	1305
233	397	1301
234	398	1297
235	399	1292
236	400	1288
237	401	1284
238	402	1280
239	403	1276
240	404	1273
241	405	1271
242	406	1267
243	407	1262
244	408	1258
245	409	1254
246	409	1249
247	410	1245
248	411	1241
249	412	1236
250	413	1233
251	413	1228
252	414	1224
253	415	1220
254	416	1217
255	417	1214
256	419	1211
257	419	1207
258	420	1203
259	421	1199
260	422	1196
261	423	1193
262	424	1189
263	425	1187
264	426	1183
265	427	1179
266	428	1175
267	429	1172
268	430	1169
269	431	1165
270	432	1162
271	432	1158
272	433	1154
273	434	1151
274	435	1147
275	436	1144
276	437	1140
277	437	1137
278	438	1134
279	439	1131
280	440	1127
281	441	1124
282	442	1121
283	443	1118
284	444	1115
285	445	1112
286	446	1108
287	447	1105
288	448	1102
289	449	1099
290	449	1096
291	450	1093
292	451	1090
293	452	1087
294	453	1083
295	454	1080
296	455	1077
297	456	1074
298	456	1071
